document_index,run_id,protocol_id,scenario_id,theta_0,theta_1,theta_2,theta_3,selected_k,doc_topic_prior,topic_word_prior,random_state
0,extended_run_001,prt_0000_00,scn_0000,0.0077774796928,0.00806870574799,0.976359469112,0.0077943454474,4,,,11
1,extended_run_001,prt_0001_00,scn_0001,0.00781484923865,0.00811468878301,0.97626655447,0.00780390750845,4,,,11
2,extended_run_001,prt_0002_00,scn_0002,0.00781788317021,0.00798975779821,0.976327407089,0.00786495194235,4,,,11
3,extended_run_001,prt_0003_00,scn_0003,0.00784715999391,0.00801092443739,0.976298009026,0.00784390654281,4,,,11
4,extended_run_001,prt_0004_00,scn_0004,0.00792789814664,0.00800619866931,0.911880907595,0.0721849955893,4,,,11
5,extended_run_001,prt_0005_00,scn_0005,0.00780382697694,0.00802298354195,0.871016887797,0.113156301684,4,,,11
6,extended_run_001,prt_0006_00,scn_0006,0.00791244914856,0.00793870788863,0.613358060403,0.37079078256,4,,,11
7,extended_run_001,prt_0007_00,scn_0007,0.00791850635561,0.144935207866,0.839240197526,0.00790608825281,4,,,11
8,extended_run_001,prt_0008_00,scn_0008,0.00783511739968,0.00802406982334,0.976264382794,0.00787642998251,4,,,11
9,extended_run_001,prt_0009_00,scn_0009,0.00789347587382,0.00815694231349,0.976034992383,0.00791458942953,4,,,11
10,extended_run_001,prt_0010_00,scn_0010,0.0078627641236,0.00795938331059,0.976301640236,0.00787621232983,4,,,11
11,extended_run_001,prt_0011_00,scn_0011,0.00776139756673,0.208863308551,0.775431281171,0.00794401271106,4,,,11
12,extended_run_001,prt_0012_00,scn_0012,0.00782853632405,0.00806279965282,0.513464379137,0.470644284886,4,,,11
13,extended_run_001,prt_0013_00,scn_0013,0.00802656772178,0.00807486845522,0.325078058774,0.658820505049,4,,,11
14,extended_run_001,prt_0014_00,scn_0014,0.00791097372691,0.539752729701,0.44420019363,0.00813610294133,4,,,11
15,extended_run_001,prt_0015_00,scn_0015,0.00796471878578,0.495743684562,0.488310792194,0.00798080445765,4,,,11
16,extended_run_001,prt_0016_00,scn_0016,0.00801764073868,0.251069569963,0.732816269356,0.00809651994227,4,,,11
17,extended_run_001,prt_0017_00,scn_0017,0.00807186690138,0.28561746685,0.698248378146,0.00806228810193,4,,,11
18,extended_run_001,prt_0018_00,scn_0018,0.00803240032812,0.355648476793,0.628280467881,0.00803865499793,4,,,11
19,extended_run_001,prt_0019_00,scn_0019,0.00808964902369,0.00800919888415,0.235128023091,0.748773129002,4,,,11
20,extended_run_001,prt_0020_00,scn_0020,0.00803700931858,0.0080986911671,0.418167820842,0.565696478673,4,,,11
21,extended_run_001,prt_0021_00,scn_0021,0.00816614924434,0.542202490133,0.441613929042,0.00801743158074,4,,,11
22,extended_run_001,prt_0022_00,scn_0022,0.00790640511878,0.627977933476,0.355994343075,0.00812131833056,4,,,11
23,extended_run_001,prt_0023_00,scn_0023,0.00808949259482,0.825832705195,0.158156215335,0.0079215868754,4,,,11
24,extended_run_001,prt_0024_00,scn_0024,0.0082685251114,0.692272960581,0.291385314501,0.00807319980718,4,,,11
25,extended_run_001,prt_0025_00,scn_0025,0.00800707232485,0.592262409355,0.391811688221,0.00791883009964,4,,,11
26,extended_run_001,prt_0026_00,scn_0026,0.00787973306211,0.3826690484,0.00791799367376,0.601533224864,4,,,11
27,extended_run_001,prt_0027_00,scn_0027,0.00790441676736,0.264780126216,0.00780735156138,0.719508105455,4,,,11
28,extended_run_001,prt_0028_00,scn_0028,0.00776875253343,0.976462506837,0.00786989126537,0.00789884936391,4,,,11
29,extended_run_001,prt_0029_00,scn_0029,0.00785010621891,0.976375142824,0.0078281692098,0.0079465817475,4,,,11
30,extended_run_001,prt_0030_00,scn_0030,0.00768630819839,0.976627283822,0.00786982500285,0.00781658297696,4,,,11
31,extended_run_001,prt_0031_00,scn_0031,0.00774695548564,0.976520352915,0.00789085170016,0.0078418398994,4,,,11
32,extended_run_001,prt_0032_00,scn_0032,0.00794568298511,0.589128696953,0.00797611487177,0.39494950519,4,,,11
33,extended_run_001,prt_0033_00,scn_0033,0.00828222141838,0.359559859578,0.00775165153566,0.624406267468,4,,,11
34,extended_run_001,prt_0034_00,scn_0034,0.132194202772,0.295157991279,0.00777297533832,0.564874830611,4,,,11
