scenario_id,protocol_id,split,synthetic_control,generation_seed,latent_contribution_in_ground_truth
syn_nul_0000,prt_syn_nul_0000,test,null,20260713,false
syn_nul_0001,prt_syn_nul_0001,test,null,20260713,false
syn_nul_0002,prt_syn_nul_0002,development,null,20260713,false
syn_nul_0003,prt_syn_nul_0003,development,null,20260713,false
syn_nul_0004,prt_syn_nul_0004,test,null,20260713,false
syn_nul_0005,prt_syn_nul_0005,development,null,20260713,false
syn_nul_0006,prt_syn_nul_0006,test,null,20260713,false
syn_nul_0007,prt_syn_nul_0007,development,null,20260713,false
syn_nul_0008,prt_syn_nul_0008,development,null,20260713,false
syn_nul_0009,prt_syn_nul_0009,development,null,20260713,false
syn_nul_0010,prt_syn_nul_0010,development,null,20260713,false
syn_nul_0011,prt_syn_nul_0011,development,null,20260713,false
syn_nul_0012,prt_syn_nul_0012,calibration,null,20260713,false
syn_nul_0013,prt_syn_nul_0013,development,null,20260713,false
syn_nul_0014,prt_syn_nul_0014,development,null,20260713,false
syn_nul_0015,prt_syn_nul_0015,test,null,20260713,false
syn_nul_0016,prt_syn_nul_0016,development,null,20260713,false
syn_nul_0017,prt_syn_nul_0017,test,null,20260713,false
syn_nul_0018,prt_syn_nul_0018,development,null,20260713,false
syn_nul_0019,prt_syn_nul_0019,development,null,20260713,false
syn_nul_0020,prt_syn_nul_0020,development,null,20260713,false
syn_nul_0021,prt_syn_nul_0021,development,null,20260713,false
syn_nul_0022,prt_syn_nul_0022,development,null,20260713,false
syn_nul_0023,prt_syn_nul_0023,calibration,null,20260713,false
syn_nul_0024,prt_syn_nul_0024,test,null,20260713,false
syn_nul_0025,prt_syn_nul_0025,test,null,20260713,false
syn_nul_0026,prt_syn_nul_0026,calibration,null,20260713,false
syn_nul_0027,prt_syn_nul_0027,test,null,20260713,false
syn_nul_0028,prt_syn_nul_0028,calibration,null,20260713,false
syn_nul_0029,prt_syn_nul_0029,development,null,20260713,false
syn_nul_0030,prt_syn_nul_0030,test,null,20260713,false
syn_nul_0031,prt_syn_nul_0031,development,null,20260713,false
syn_nul_0032,prt_syn_nul_0032,development,null,20260713,false
syn_nul_0033,prt_syn_nul_0033,calibration,null,20260713,false
syn_nul_0034,prt_syn_nul_0034,development,null,20260713,false
syn_nul_0035,prt_syn_nul_0035,development,null,20260713,false
syn_nul_0036,prt_syn_nul_0036,development,null,20260713,false
syn_nul_0037,prt_syn_nul_0037,test,null,20260713,false
syn_nul_0038,prt_syn_nul_0038,development,null,20260713,false
syn_nul_0039,prt_syn_nul_0039,development,null,20260713,false
syn_nul_0040,prt_syn_nul_0040,calibration,null,20260713,false
syn_nul_0041,prt_syn_nul_0041,development,null,20260713,false
syn_nul_0042,prt_syn_nul_0042,calibration,null,20260713,false
syn_nul_0043,prt_syn_nul_0043,test,null,20260713,false
syn_nul_0044,prt_syn_nul_0044,calibration,null,20260713,false
syn_nul_0045,prt_syn_nul_0045,development,null,20260713,false
syn_nul_0046,prt_syn_nul_0046,development,null,20260713,false
syn_nul_0047,prt_syn_nul_0047,development,null,20260713,false
