scenario_id,protocol_id,split,synthetic_control,generation_seed,latent_contribution_in_ground_truth
syn_pos_0000,prt_syn_pos_0000,development,positive,20260712,true
syn_pos_0001,prt_syn_pos_0001,development,positive,20260712,true
syn_pos_0002,prt_syn_pos_0002,calibration,positive,20260712,true
syn_pos_0003,prt_syn_pos_0003,test,positive,20260712,true
syn_pos_0004,prt_syn_pos_0004,test,positive,20260712,true
syn_pos_0005,prt_syn_pos_0005,calibration,positive,20260712,true
syn_pos_0006,prt_syn_pos_0006,calibration,positive,20260712,true
syn_pos_0007,prt_syn_pos_0007,development,positive,20260712,true
syn_pos_0008,prt_syn_pos_0008,development,positive,20260712,true
syn_pos_0009,prt_syn_pos_0009,development,positive,20260712,true
syn_pos_0010,prt_syn_pos_0010,development,positive,20260712,true
syn_pos_0011,prt_syn_pos_0011,test,positive,20260712,true
syn_pos_0012,prt_syn_pos_0012,test,positive,20260712,true
syn_pos_0013,prt_syn_pos_0013,calibration,positive,20260712,true
syn_pos_0014,prt_syn_pos_0014,development,positive,20260712,true
syn_pos_0015,prt_syn_pos_0015,development,positive,20260712,true
syn_pos_0016,prt_syn_pos_0016,calibration,positive,20260712,true
syn_pos_0017,prt_syn_pos_0017,development,positive,20260712,true
syn_pos_0018,prt_syn_pos_0018,calibration,positive,20260712,true
syn_pos_0019,prt_syn_pos_0019,calibration,positive,20260712,true
syn_pos_0020,prt_syn_pos_0020,calibration,positive,20260712,true
syn_pos_0021,prt_syn_pos_0021,development,positive,20260712,true
syn_pos_0022,prt_syn_pos_0022,development,positive,20260712,true
syn_pos_0023,prt_syn_pos_0023,development,positive,20260712,true
syn_pos_0024,prt_syn_pos_0024,development,positive,20260712,true
syn_pos_0025,prt_syn_pos_0025,development,positive,20260712,true
syn_pos_0026,prt_syn_pos_0026,calibration,positive,20260712,true
syn_pos_0027,prt_syn_pos_0027,development,positive,20260712,true
syn_pos_0028,prt_syn_pos_0028,development,positive,20260712,true
syn_pos_0029,prt_syn_pos_0029,calibration,positive,20260712,true
syn_pos_0030,prt_syn_pos_0030,development,positive,20260712,true
syn_pos_0031,prt_syn_pos_0031,development,positive,20260712,true
syn_pos_0032,prt_syn_pos_0032,test,positive,20260712,true
syn_pos_0033,prt_syn_pos_0033,test,positive,20260712,true
syn_pos_0034,prt_syn_pos_0034,development,positive,20260712,true
syn_pos_0035,prt_syn_pos_0035,test,positive,20260712,true
syn_pos_0036,prt_syn_pos_0036,development,positive,20260712,true
syn_pos_0037,prt_syn_pos_0037,development,positive,20260712,true
syn_pos_0038,prt_syn_pos_0038,test,positive,20260712,true
syn_pos_0039,prt_syn_pos_0039,test,positive,20260712,true
syn_pos_0040,prt_syn_pos_0040,test,positive,20260712,true
syn_pos_0041,prt_syn_pos_0041,development,positive,20260712,true
syn_pos_0042,prt_syn_pos_0042,development,positive,20260712,true
syn_pos_0043,prt_syn_pos_0043,development,positive,20260712,true
syn_pos_0044,prt_syn_pos_0044,development,positive,20260712,true
syn_pos_0045,prt_syn_pos_0045,development,positive,20260712,true
syn_pos_0046,prt_syn_pos_0046,calibration,positive,20260712,true
syn_pos_0047,prt_syn_pos_0047,calibration,positive,20260712,true
syn_pos_0048,prt_syn_pos_0048,development,positive,20260712,true
syn_pos_0049,prt_syn_pos_0049,test,positive,20260712,true
syn_pos_0050,prt_syn_pos_0050,development,positive,20260712,true
syn_pos_0051,prt_syn_pos_0051,development,positive,20260712,true
syn_pos_0052,prt_syn_pos_0052,development,positive,20260712,true
syn_pos_0053,prt_syn_pos_0053,development,positive,20260712,true
syn_pos_0054,prt_syn_pos_0054,calibration,positive,20260712,true
syn_pos_0055,prt_syn_pos_0055,development,positive,20260712,true
syn_pos_0056,prt_syn_pos_0056,calibration,positive,20260712,true
syn_pos_0057,prt_syn_pos_0057,development,positive,20260712,true
syn_pos_0058,prt_syn_pos_0058,development,positive,20260712,true
syn_pos_0059,prt_syn_pos_0059,calibration,positive,20260712,true
syn_pos_0060,prt_syn_pos_0060,development,positive,20260712,true
syn_pos_0061,prt_syn_pos_0061,test,positive,20260712,true
syn_pos_0062,prt_syn_pos_0062,calibration,positive,20260712,true
syn_pos_0063,prt_syn_pos_0063,development,positive,20260712,true
syn_pos_0064,prt_syn_pos_0064,test,positive,20260712,true
syn_pos_0065,prt_syn_pos_0065,development,positive,20260712,true
syn_pos_0066,prt_syn_pos_0066,test,positive,20260712,true
syn_pos_0067,prt_syn_pos_0067,development,positive,20260712,true
syn_pos_0068,prt_syn_pos_0068,calibration,positive,20260712,true
syn_pos_0069,prt_syn_pos_0069,development,positive,20260712,true
