document_index,run_id,protocol_id,scenario_id,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,selected_k,doc_topic_prior,topic_word_prior,random_state
0,extended_run_001,prt_0000_00,scn_0000,0.0050700003155,0.00508038485768,0.00507008700794,0.00506679640593,0.00506708116759,0.974645650245,6,,,11
1,extended_run_001,prt_0001_00,scn_0001,0.00507476352964,0.00508580311891,0.00506724886868,0.00506791495095,0.00507177984827,0.974632489684,6,,,11
2,extended_run_001,prt_0002_00,scn_0002,0.00507068431573,0.00508480448687,0.106230365756,0.00507472496699,0.00507735922016,0.873462061254,6,,,11
3,extended_run_001,prt_0003_00,scn_0003,0.00507063922092,0.0050833851828,0.174131431525,0.00507184121209,0.00507290023426,0.805569802625,6,,,11
4,extended_run_001,prt_0004_00,scn_0004,0.00507583270006,0.00509152648015,0.174922987693,0.0595377421667,0.00509029323073,0.750281617729,6,,,11
5,extended_run_001,prt_0005_00,scn_0005,0.00507481147481,0.00509144937046,0.0972940006888,0.0886085251289,0.00507903193967,0.798852181397,6,,,11
6,extended_run_001,prt_0006_00,scn_0006,0.00507796965781,0.00509222008561,0.00507459251641,0.302565775547,0.00508180454409,0.677107637649,6,,,11
7,extended_run_001,prt_0007_00,scn_0007,0.00508548288308,0.00512029579697,0.0050599158438,0.00508428210454,0.0050946924274,0.974555330944,6,,,11
8,extended_run_001,prt_0008_00,scn_0008,0.00507590969511,0.0050884505714,0.162846985119,0.00507583939389,0.00507653711615,0.816836278104,6,,,11
9,extended_run_001,prt_0009_00,scn_0009,0.00507895627782,0.00509530656915,0.00509257751952,0.00507992603363,0.00507695861605,0.974576274984,6,,,11
10,extended_run_001,prt_0010_00,scn_0010,0.00507944794827,0.00508081703106,0.193950761211,0.00507422471669,0.0050743845063,0.785740364586,6,,,11
11,extended_run_001,prt_0011_00,scn_0011,0.00507009439859,0.00512481551048,0.242144940791,0.00509257780677,0.00507258296345,0.73749498853,6,,,11
12,extended_run_001,prt_0012_00,scn_0012,0.00507046595982,0.00510165008637,0.00509757915178,0.383654966048,0.00508173489596,0.595993603858,6,,,11
