document_index,run_id,protocol_id,scenario_id,theta_0,theta_1,theta_2,selected_k,doc_topic_prior,topic_word_prior,random_state
0,extended_run_001,prt_0000_00,scn_0000,0.0105126086451,0.0114579469719,0.978029444383,3,,,11
1,extended_run_001,prt_0001_00,scn_0001,0.0105962673616,0.0116869087743,0.977716823864,3,,,11
2,extended_run_001,prt_0002_00,scn_0002,0.0107485342185,0.0116062381595,0.977645227622,3,,,11
3,extended_run_001,prt_0003_00,scn_0003,0.0106144977862,0.0117647167016,0.977620785512,3,,,11
4,extended_run_001,prt_0004_00,scn_0004,0.0672974939436,0.0119339299544,0.920768576102,3,,,11
5,extended_run_001,prt_0005_00,scn_0005,0.0931885067387,0.011741756157,0.895069737104,3,,,11
6,extended_run_001,prt_0006_00,scn_0006,0.294837810884,0.0123031502731,0.692859038843,3,,,11
7,extended_run_001,prt_0007_00,scn_0007,0.0112519564485,0.012773519294,0.975974524257,3,,,11
8,extended_run_001,prt_0008_00,scn_0008,0.0107904496075,0.0118088678223,0.97740068257,3,,,11
9,extended_run_001,prt_0009_00,scn_0009,0.0112615363929,0.0120133021075,0.9767251615,3,,,11
10,extended_run_001,prt_0010_00,scn_0010,0.0108506565681,0.0116294605531,0.977519882879,3,,,11
11,extended_run_001,prt_0011_00,scn_0011,0.0105930001083,0.207744640781,0.781662359111,3,,,11
12,extended_run_001,prt_0012_00,scn_0012,0.251409025023,0.236140165317,0.51245080966,3,,,11
13,extended_run_001,prt_0013_00,scn_0013,0.46541949722,0.267878994033,0.266701508747,3,,,11
14,extended_run_001,prt_0014_00,scn_0014,0.0119666700033,0.553549458958,0.434483871039,3,,,11
15,extended_run_001,prt_0015_00,scn_0015,0.0112644985543,0.359991373451,0.628744127994,3,,,11
16,extended_run_001,prt_0016_00,scn_0016,0.0113722065617,0.245964107213,0.742663686225,3,,,11
17,extended_run_001,prt_0017_00,scn_0017,0.0112294468519,0.294148407555,0.694622145593,3,,,11
18,extended_run_001,prt_0018_00,scn_0018,0.011122097235,0.403812001945,0.58506590082,3,,,11
19,extended_run_001,prt_0019_00,scn_0019,0.496224016749,0.315579376373,0.188196606878,3,,,11
20,extended_run_001,prt_0020_00,scn_0020,0.35076978,0.257597921021,0.391632298979,3,,,11
21,extended_run_001,prt_0021_00,scn_0021,0.0115433470868,0.469104110125,0.519352542788,3,,,11
22,extended_run_001,prt_0022_00,scn_0022,0.0114535403512,0.70717623518,0.281370224469,3,,,11
23,extended_run_001,prt_0023_00,scn_0023,0.0113290013463,0.762703678626,0.225967320028,3,,,11
24,extended_run_001,prt_0024_00,scn_0024,0.0118774324327,0.763159316635,0.224963250932,3,,,11
25,extended_run_001,prt_0025_00,scn_0025,0.0108708302075,0.590735939339,0.398393230453,3,,,11
26,extended_run_001,prt_0026_00,scn_0026,0.344495215838,0.64407576834,0.0114290158227,3,,,11
27,extended_run_001,prt_0027_00,scn_0027,0.347712871226,0.641346379606,0.0109407491681,3,,,11
28,extended_run_001,prt_0028_00,scn_0028,0.0106765299747,0.977507856687,0.0118156133381,3,,,11
29,extended_run_001,prt_0029_00,scn_0029,0.0114642770796,0.977352754276,0.0111829686448,3,,,11
30,extended_run_001,prt_0030_00,scn_0030,0.0105529569729,0.977256432623,0.0121906104043,3,,,11
31,extended_run_001,prt_0031_00,scn_0031,0.0106285291797,0.977751448738,0.011620022082,3,,,11
32,extended_run_001,prt_0032_00,scn_0032,0.120195443244,0.868478189843,0.0113263669127,3,,,11
33,extended_run_001,prt_0033_00,scn_0033,0.357746961257,0.631533053898,0.0107199848451,3,,,11
34,extended_run_001,prt_0034_00,scn_0034,0.348635704376,0.640610966355,0.0107533292689,3,,,11
35,extended_run_001,prt_0035_00,scn_0035,0.0126472097224,0.481245968258,0.50610682202,3,,,11
36,extended_run_001,prt_0036_00,scn_0036,0.0122179252634,0.453746849997,0.53403522474,3,,,11
37,extended_run_001,prt_0037_00,scn_0037,0.0127687107275,0.548582015686,0.438649273586,3,,,11
38,extended_run_001,prt_0038_00,scn_0038,0.483909323465,0.5021977413,0.0138929352351,3,,,11
39,extended_run_001,prt_0039_00,scn_0039,0.976606483961,0.0121355724372,0.0112579436014,3,,,11
40,extended_run_001,prt_0040_00,scn_0040,0.975839894867,0.0121012884256,0.0120588167075,3,,,11
41,extended_run_001,prt_0041_00,scn_0041,0.977378754426,0.0113140956498,0.0113071499244,3,,,11
42,extended_run_001,prt_0042_00,scn_0042,0.331241484254,0.459698803267,0.209059712479,3,,,11
43,extended_run_001,prt_0043_00,scn_0043,0.381783299046,0.604893390898,0.0133233100564,3,,,11
44,extended_run_001,prt_0044_00,scn_0044,0.567322470702,0.418912219819,0.0137653094788,3,,,11
45,extended_run_001,prt_0045_00,scn_0045,0.531519102554,0.0129446293597,0.455536268086,3,,,11
46,extended_run_001,prt_0046_00,scn_0046,0.679377200318,0.0131906597093,0.307432139972,3,,,11
47,extended_run_001,prt_0047_00,scn_0047,0.978481099093,0.0107159646846,0.0108029362226,3,,,11
48,extended_run_001,prt_0048_00,scn_0048,0.977552622828,0.010920127635,0.0115272495372,3,,,11
49,extended_run_001,prt_0049_00,scn_0049,0.521547583367,0.295961516302,0.182490900332,3,,,11
50,extended_run_001,prt_0050_00,scn_0050,0.247901466856,0.194352181856,0.557746351288,3,,,11
51,extended_run_001,prt_0051_00,scn_0051,0.245054389087,0.129535757693,0.62540985322,3,,,11
52,extended_run_001,prt_0052_00,scn_0052,0.0113550282522,0.0111891099496,0.977455861798,3,,,11
53,extended_run_001,prt_0053_00,scn_0053,0.0120585595507,0.0116554587777,0.976285981672,3,,,11
54,extended_run_001,prt_0054_00,scn_0054,0.628191347097,0.0113031513358,0.360505501567,3,,,11
55,extended_run_001,prt_0055_00,scn_0055,0.411092706155,0.0112501301426,0.577657163703,3,,,11
56,extended_run_001,prt_0056_00,scn_0056,0.0112122243581,0.0113526543379,0.977435121304,3,,,11
57,extended_run_001,prt_0057_00,scn_0057,0.0836900376237,0.0110678760501,0.905242086326,3,,,11
58,extended_run_001,prt_0058_00,scn_0058,0.0111322847871,0.0111830791902,0.977684636023,3,,,11
59,extended_run_001,prt_0059_00,scn_0059,0.198769264657,0.011167152006,0.790063583337,3,,,11
60,extended_run_001,prt_0060_00,scn_0060,0.0110606533174,0.0110287256445,0.977910621038,3,,,11
61,extended_run_001,prt_0061_00,scn_0061,0.342168314733,0.0110911060756,0.646740579191,3,,,11
62,extended_run_001,prt_0062_00,scn_0062,0.627924573061,0.0111096155217,0.360965811418,3,,,11
63,extended_run_001,prt_0063_00,scn_0063,0.308453690107,0.0127120655694,0.678834244324,3,,,11
64,extended_run_001,prt_0064_00,scn_0064,0.311018495062,0.0121034829004,0.676878022038,3,,,11
65,extended_run_001,prt_0065_00,scn_0065,0.255241382849,0.013915557443,0.730843059708,3,,,11
66,extended_run_001,prt_0066_00,scn_0066,0.012333762895,0.195135134133,0.792531102972,3,,,11
67,extended_run_001,prt_0067_00,scn_0067,0.0124644872393,0.223695736665,0.763839776096,3,,,11
68,extended_run_001,prt_0068_00,scn_0068,0.976188162451,0.0120644399516,0.0117473975975,3,,,11
69,extended_run_001,prt_0069_00,scn_0069,0.975473245063,0.0129125344878,0.0116142204494,3,,,11
70,extended_run_001,prt_0070_00,scn_0070,0.0115798099373,0.0114523700554,0.976967820007,3,,,11
71,extended_run_001,prt_0071_00,scn_0071,0.124926994656,0.0112911954407,0.863781809904,3,,,11
72,extended_run_001,prt_0072_00,scn_0072,0.0114283550831,0.0111262799574,0.977445364959,3,,,11
73,extended_run_001,prt_0073_00,scn_0073,0.0851776649192,0.0111246063062,0.903697728775,3,,,11
74,extended_run_001,prt_0074_00,scn_0074,0.480214315643,0.011074233721,0.508711450635,3,,,11
75,extended_run_001,prt_0075_00,scn_0075,0.244140059488,0.0110953990506,0.744764541461,3,,,11
76,extended_run_001,prt_0076_00,scn_0076,0.378709893452,0.0112735566905,0.610016549857,3,,,11
77,extended_run_001,prt_0077_00,scn_0077,0.011369431708,0.240996856731,0.747633711561,3,,,11
78,extended_run_001,prt_0078_00,scn_0078,0.0119958553456,0.578216741231,0.409787403423,3,,,11
79,extended_run_001,prt_0079_00,scn_0079,0.158619865094,0.546758589399,0.294621545507,3,,,11
80,extended_run_001,prt_0080_00,scn_0080,0.0114402068584,0.372737309681,0.61582248346,3,,,11
81,extended_run_001,prt_0081_00,scn_0081,0.0117293771058,0.409379825825,0.578890797069,3,,,11
82,extended_run_001,prt_0082_00,scn_0082,0.630554036702,0.355264783013,0.0141811802855,3,,,11
83,extended_run_001,prt_0083_00,scn_0083,0.559332735973,0.426983052974,0.0136842110526,3,,,11
84,extended_run_001,prt_0084_00,scn_0084,0.0122869471545,0.685305974393,0.302407078452,3,,,11
85,extended_run_001,prt_0085_00,scn_0085,0.0105593902159,0.977508836436,0.0119317733478,3,,,11
86,extended_run_001,prt_0086_00,scn_0086,0.0105758916841,0.978038664957,0.0113854433586,3,,,11
87,extended_run_001,prt_0087_00,scn_0087,0.0124456312348,0.97655558478,0.0109987839854,3,,,11
88,extended_run_001,prt_0088_00,scn_0088,0.403152694708,0.585261854133,0.0115854511595,3,,,11
89,extended_run_001,prt_0089_00,scn_0089,0.369190396593,0.619488537953,0.0113210654546,3,,,11
90,extended_run_001,prt_0090_00,scn_0090,0.489113052862,0.498888797022,0.0119981501159,3,,,11
91,extended_run_001,prt_0091_00,scn_0091,0.0111285746832,0.975738930607,0.0131324947098,3,,,11
92,extended_run_001,prt_0092_00,scn_0092,0.0111420272634,0.97710787588,0.0117500968567,3,,,11
93,extended_run_001,prt_0093_00,scn_0093,0.0112581494046,0.977132161107,0.0116096894885,3,,,11
94,extended_run_001,prt_0094_00,scn_0094,0.376499504991,0.612258180049,0.0112423149602,3,,,11
95,extended_run_001,prt_0095_00,scn_0095,0.0141817113476,0.974184026584,0.011634262068,3,,,11
96,extended_run_001,prt_0096_00,scn_0096,0.508548187012,0.480208077469,0.0112437355185,3,,,11
97,extended_run_001,prt_0097_00,scn_0097,0.408930732621,0.579766682397,0.011302584982,3,,,11
98,extended_run_001,prt_0098_00,scn_0098,0.0122524704911,0.976325254696,0.0114222748127,3,,,11
99,extended_run_001,prt_0099_00,scn_0099,0.18254794842,0.806207449466,0.0112446021137,3,,,11
100,extended_run_001,prt_0100_00,scn_0100,0.0113898950071,0.976418779576,0.0121913254174,3,,,11
101,extended_run_001,prt_0101_00,scn_0101,0.0109488071315,0.977420961202,0.0116302316662,3,,,11
102,extended_run_001,prt_0102_00,scn_0102,0.0131847152959,0.975580626391,0.0112346583129,3,,,11
103,extended_run_001,prt_0103_00,scn_0103,0.443851504936,0.545309313021,0.0108391820431,3,,,11
