topic_id,token_id,token,document_frequency,weight
0,0,prior_condition_mean_adjusted_attention__level_high,2,0.0345110651047
0,1,prior_condition_mean_adjusted_attention__level_low,2,0.00863439632623
0,2,prior_condition_total_adjusted_time__level_high,2,0.0343085781959
0,3,prior_condition_total_adjusted_time__level_low,2,0.0345110651047
0,4,prior_control_marker_ratio__level_high,2,0.0603676169317
0,5,prior_control_marker_ratio__level_low,2,0.00863123031401
0,6,prior_digit_ratio__level_high,2,0.00863123031401
0,7,prior_digit_ratio__level_low,2,0.0603676169317
0,8,prior_mean_complexity__level_low,2,0.0345110651047
0,9,prior_mean_complexity__level_mid,2,0.034475537854
0,10,prior_mean_message_criticality__level_high,2,0.00863123031401
0,11,prior_mean_message_criticality__level_low,2,0.0603676169317
0,12,prior_message_length__level_low,2,0.0345110651047
0,13,prior_message_length__level_mid,2,0.034475537854
0,14,prior_operator_final_fatigue__level_high,2,0.00863439632623
0,15,prior_operator_final_fatigue__level_low,2,0.0345110651047
0,16,prior_operator_mean_attention__level_high,2,0.0345110651047
0,17,prior_operator_mean_attention__level_low,2,0.00863439632623
0,18,prior_operator_total_effort__level_high,2,0.00863439632623
0,19,prior_operator_total_effort__level_low,2,0.0345110651047
0,20,prior_operator_total_estimated_time__level_high,2,0.0343085781959
0,21,prior_operator_total_estimated_time__level_low,2,0.0345110651047
0,22,prior_reference_ratio__level_high,2,0.00863439632623
0,23,prior_reference_ratio__level_low,2,0.0603676169317
0,24,prior_service_ratio__level_high,2,0.0603676169317
0,25,prior_service_ratio__level_low,2,0.00863123031401
0,26,prior_step_count__level_low,2,0.0345110651047
0,27,prior_step_count__level_mid,2,0.034475537854
0,28,prior_symbol_ratio__level_high,2,0.0603676169317
0,29,prior_symbol_ratio__level_low,2,0.00863439632623
0,30,prior_total_nominal_time__level_high,2,0.0343085781959
0,31,prior_total_nominal_time__level_low,2,0.0345110651047
1,0,prior_condition_mean_adjusted_attention__level_high,2,0.0168974985796
1,1,prior_condition_mean_adjusted_attention__level_low,2,0.0679787916597
1,2,prior_condition_total_adjusted_time__level_high,2,0.0678326844146
1,3,prior_condition_total_adjusted_time__level_low,2,0.0168974985796
1,4,prior_control_marker_ratio__level_high,2,0.0168858892823
1,5,prior_control_marker_ratio__level_low,2,0.0168904269539
1,6,prior_digit_ratio__level_high,2,0.0168904269539
1,7,prior_digit_ratio__level_low,2,0.0168858892823
1,8,prior_mean_complexity__level_low,2,0.0168974985796
1,9,prior_mean_complexity__level_mid,2,0.0169257224975
1,10,prior_mean_message_criticality__level_high,2,0.0168904269539
1,11,prior_mean_message_criticality__level_low,2,0.0168858892823
1,12,prior_message_length__level_low,2,0.0168974985796
1,13,prior_message_length__level_mid,2,0.0169257224975
1,14,prior_operator_final_fatigue__level_high,2,0.0679787916597
1,15,prior_operator_final_fatigue__level_low,2,0.0168974985796
1,16,prior_operator_mean_attention__level_high,2,0.0168974985796
1,17,prior_operator_mean_attention__level_low,2,0.0679787916597
1,18,prior_operator_total_effort__level_high,2,0.0679787916597
1,19,prior_operator_total_effort__level_low,2,0.0168974985796
1,20,prior_operator_total_estimated_time__level_high,2,0.0678326844146
1,21,prior_operator_total_estimated_time__level_low,2,0.0168974985796
1,22,prior_reference_ratio__level_high,2,0.0679787916597
1,23,prior_reference_ratio__level_low,2,0.0168858892823
1,24,prior_service_ratio__level_high,2,0.0168858892823
1,25,prior_service_ratio__level_low,2,0.0168904269539
1,26,prior_step_count__level_low,2,0.0168974985796
1,27,prior_step_count__level_mid,2,0.0169257224975
1,28,prior_symbol_ratio__level_high,2,0.0168858892823
1,29,prior_symbol_ratio__level_low,2,0.0679787916597
1,30,prior_total_nominal_time__level_high,2,0.0678326844146
1,31,prior_total_nominal_time__level_low,2,0.0168974985796
2,0,prior_condition_mean_adjusted_attention__level_high,2,0.0354425843995
2,1,prior_condition_mean_adjusted_attention__level_low,2,0.0351889175404
2,2,prior_condition_total_adjusted_time__level_high,2,0.00887622837351
2,3,prior_condition_total_adjusted_time__level_low,2,0.0354425843995
2,4,prior_control_marker_ratio__level_high,2,0.00887174434321
2,5,prior_control_marker_ratio__level_low,2,0.0620471758827
2,6,prior_digit_ratio__level_high,2,0.0620471758827
2,7,prior_digit_ratio__level_low,2,0.00887174434321
2,8,prior_mean_complexity__level_low,2,0.0354425843995
2,9,prior_mean_complexity__level_mid,2,0.0354642653505
2,10,prior_mean_message_criticality__level_high,2,0.0620471758827
2,11,prior_mean_message_criticality__level_low,2,0.00887174434321
2,12,prior_message_length__level_low,2,0.0354425843995
2,13,prior_message_length__level_mid,2,0.0354642653505
2,14,prior_operator_final_fatigue__level_high,2,0.0351889175404
2,15,prior_operator_final_fatigue__level_low,2,0.0354425843995
2,16,prior_operator_mean_attention__level_high,2,0.0354425843995
2,17,prior_operator_mean_attention__level_low,2,0.0351889175404
2,18,prior_operator_total_effort__level_high,2,0.0351889175404
2,19,prior_operator_total_effort__level_low,2,0.0354425843995
2,20,prior_operator_total_estimated_time__level_high,2,0.00887622837351
2,21,prior_operator_total_estimated_time__level_low,2,0.0354425843995
2,22,prior_reference_ratio__level_high,2,0.0351889175404
2,23,prior_reference_ratio__level_low,2,0.00887174434321
2,24,prior_service_ratio__level_high,2,0.00887174434321
2,25,prior_service_ratio__level_low,2,0.0620471758827
2,26,prior_step_count__level_low,2,0.0354425843995
2,27,prior_step_count__level_mid,2,0.0354642653505
2,28,prior_symbol_ratio__level_high,2,0.00887174434321
2,29,prior_symbol_ratio__level_low,2,0.0351889175404
2,30,prior_total_nominal_time__level_high,2,0.00887622837351
2,31,prior_total_nominal_time__level_low,2,0.0354425843995
