document_index,run_id,protocol_id,scenario_id,theta_0,theta_1,theta_2,selected_k,doc_topic_prior,topic_word_prior,random_state
0,extended_run_001,prt_0000_00,scn_0000,0.0120115030661,0.977343452208,0.0106450447258,3,,,77
1,extended_run_001,prt_0001_00,scn_0001,0.0120597988223,0.977255858251,0.0106843429265,3,,,77
2,extended_run_001,prt_0002_00,scn_0002,0.0118114884014,0.977288394965,0.0109001166335,3,,,77
3,extended_run_001,prt_0003_00,scn_0003,0.0117035101962,0.977535598712,0.0107608910919,3,,,77
4,extended_run_001,prt_0004_00,scn_0004,0.0116507148931,0.923070089721,0.0652791953859,3,,,77
5,extended_run_001,prt_0005_00,scn_0005,0.01158312672,0.890437645349,0.0979792279309,3,,,77
6,extended_run_001,prt_0006_00,scn_0006,0.0115560228271,0.678015961538,0.310428015635,3,,,77
7,extended_run_001,prt_0007_00,scn_0007,0.012096437297,0.976917414601,0.0109861481018,3,,,77
8,extended_run_001,prt_0008_00,scn_0008,0.0117798818009,0.977283540176,0.0109365780231,3,,,77
9,extended_run_001,prt_0009_00,scn_0009,0.0118959833136,0.976988412694,0.0111156039923,3,,,77
10,extended_run_001,prt_0010_00,scn_0010,0.0117329856627,0.977323262385,0.010943751952,3,,,77
11,extended_run_001,prt_0011_00,scn_0011,0.011511311956,0.977792902158,0.0106957858862,3,,,77
12,extended_run_001,prt_0012_00,scn_0012,0.0114471445493,0.69437352897,0.29417932648,3,,,77
13,extended_run_001,prt_0013_00,scn_0013,0.0113228038323,0.509670472157,0.47900672401,3,,,77
14,extended_run_001,prt_0014_00,scn_0014,0.0118771915977,0.976265824588,0.0118569838138,3,,,77
15,extended_run_001,prt_0015_00,scn_0015,0.0123144721541,0.976559189429,0.0111263384168,3,,,77
16,extended_run_001,prt_0016_00,scn_0016,0.0119861286667,0.976651284215,0.011362587118,3,,,77
17,extended_run_001,prt_0017_00,scn_0017,0.0119356675224,0.976783666625,0.0112806658526,3,,,77
18,extended_run_001,prt_0018_00,scn_0018,0.0116072717208,0.977284832011,0.0111078962683,3,,,77
19,extended_run_001,prt_0019_00,scn_0019,0.0112403553215,0.44669171381,0.542067930868,3,,,77
20,extended_run_001,prt_0020_00,scn_0020,0.0114740588197,0.622094854365,0.366431086815,3,,,77
21,extended_run_001,prt_0021_00,scn_0021,0.0123911627143,0.976443927704,0.0111649095815,3,,,77
22,extended_run_001,prt_0022_00,scn_0022,0.0115483569305,0.977245720164,0.0112059229052,3,,,77
23,extended_run_001,prt_0023_00,scn_0023,0.0122208169574,0.976207557927,0.0115716251161,3,,,77
24,extended_run_001,prt_0024_00,scn_0024,0.0119519182269,0.975758923868,0.0122891579054,3,,,77
25,extended_run_001,prt_0025_00,scn_0025,0.0117309140352,0.976890341646,0.0113787443188,3,,,77
26,extended_run_001,prt_0026_00,scn_0026,0.0111296297415,0.244800661233,0.744069709025,3,,,77
27,extended_run_001,prt_0027_00,scn_0027,0.0108917654649,0.013446839095,0.97566139544,3,,,77
28,extended_run_001,prt_0028_00,scn_0028,0.0123430873841,0.974088835115,0.0135680775011,3,,,77
29,extended_run_001,prt_0029_00,scn_0029,0.0119315357047,0.756076409518,0.231992054777,3,,,77
30,extended_run_001,prt_0030_00,scn_0030,0.0121297751501,0.975373227345,0.0124969975047,3,,,77
31,extended_run_001,prt_0031_00,scn_0031,0.011822861074,0.975264833765,0.0129123051607,3,,,77
32,extended_run_001,prt_0032_00,scn_0032,0.0115066526961,0.391047777352,0.597445569952,3,,,77
33,extended_run_001,prt_0033_00,scn_0033,0.0108757737833,0.0125218677455,0.976602358471,3,,,77
34,extended_run_001,prt_0034_00,scn_0034,0.0113231913056,0.0125991392289,0.976077669465,3,,,77
35,extended_run_001,prt_0035_00,scn_0035,0.974290718523,0.0131743305533,0.0125349509233,3,,,77
36,extended_run_001,prt_0036_00,scn_0036,0.971655885689,0.0166238079492,0.0117203063617,3,,,77
37,extended_run_001,prt_0037_00,scn_0037,0.974619619607,0.0133443305608,0.0120360498327,3,,,77
38,extended_run_001,prt_0038_00,scn_0038,0.601332452057,0.0122137208614,0.386453827081,3,,,77
39,extended_run_001,prt_0039_00,scn_0039,0.0119639470868,0.0113100942821,0.976725958631,3,,,77
40,extended_run_001,prt_0040_00,scn_0040,0.0138964017051,0.0122566150051,0.97384698329,3,,,77
41,extended_run_001,prt_0041_00,scn_0041,0.0120126559611,0.0111389870924,0.976848356947,3,,,77
42,extended_run_001,prt_0042_00,scn_0042,0.974273517172,0.0124036611671,0.0133228216608,3,,,77
43,extended_run_001,prt_0043_00,scn_0043,0.974120035317,0.0124279817488,0.0134519829342,3,,,77
44,extended_run_001,prt_0044_00,scn_0044,0.796024937797,0.0119345909739,0.192040471229,3,,,77
45,extended_run_001,prt_0045_00,scn_0045,0.977181302871,0.0115099358558,0.0113087612727,3,,,77
46,extended_run_001,prt_0046_00,scn_0046,0.975173933808,0.0117366644375,0.013089401754,3,,,77
47,extended_run_001,prt_0047_00,scn_0047,0.368060253137,0.0109076601409,0.621032086722,3,,,77
48,extended_run_001,prt_0048_00,scn_0048,0.436591582308,0.0109776985122,0.55243071918,3,,,77
49,extended_run_001,prt_0049_00,scn_0049,0.975448473047,0.0119660692838,0.0125854576696,3,,,77
50,extended_run_001,prt_0050_00,scn_0050,0.976401614371,0.0118936764139,0.0117047092154,3,,,77
51,extended_run_001,prt_0051_00,scn_0051,0.976340705039,0.0119768730159,0.0116824219452,3,,,77
52,extended_run_001,prt_0052_00,scn_0052,0.976476061136,0.0126377869316,0.0108861519324,3,,,77
53,extended_run_001,prt_0053_00,scn_0053,0.97649139395,0.0124389503336,0.0110696557164,3,,,77
54,extended_run_001,prt_0054_00,scn_0054,0.5110152614,0.0120343854781,0.476950353122,3,,,77
55,extended_run_001,prt_0055_00,scn_0055,0.64866982506,0.0130168403296,0.33831333461,3,,,77
56,extended_run_001,prt_0056_00,scn_0056,0.976060854742,0.012956382959,0.0109827622994,3,,,77
57,extended_run_001,prt_0057_00,scn_0057,0.975827311531,0.0122628777845,0.0119098106846,3,,,77
58,extended_run_001,prt_0058_00,scn_0058,0.977044095751,0.0121440293367,0.0108118749127,3,,,77
59,extended_run_001,prt_0059_00,scn_0059,0.909425938846,0.0123763196989,0.0781977414546,3,,,77
60,extended_run_001,prt_0060_00,scn_0060,0.976747890064,0.0125054182794,0.0107466916564,3,,,77
61,extended_run_001,prt_0061_00,scn_0061,0.751026510891,0.0123852823738,0.236588206735,3,,,77
62,extended_run_001,prt_0062_00,scn_0062,0.603441533634,0.011702283808,0.384856182558,3,,,77
63,extended_run_001,prt_0063_00,scn_0063,0.975997832871,0.0124589652791,0.0115432018496,3,,,77
64,extended_run_001,prt_0064_00,scn_0064,0.976514264041,0.0121029181513,0.0113828178078,3,,,77
65,extended_run_001,prt_0065_00,scn_0065,0.9745133821,0.0128516337337,0.0126349841667,3,,,77
66,extended_run_001,prt_0066_00,scn_0066,0.9748463623,0.0130794889743,0.0120741487253,3,,,77
67,extended_run_001,prt_0067_00,scn_0067,0.974259516634,0.0134693863926,0.0122710969731,3,,,77
68,extended_run_001,prt_0068_00,scn_0068,0.406933364106,0.0111370231069,0.581929612787,3,,,77
69,extended_run_001,prt_0069_00,scn_0069,0.334928083762,0.0111431885709,0.653928727667,3,,,77
70,extended_run_001,prt_0070_00,scn_0070,0.977421063504,0.0118647550484,0.0107141814473,3,,,77
71,extended_run_001,prt_0071_00,scn_0071,0.976556003814,0.0116120827036,0.0118319134821,3,,,77
72,extended_run_001,prt_0072_00,scn_0072,0.977440695189,0.0117600008445,0.0107993039669,3,,,77
73,extended_run_001,prt_0073_00,scn_0073,0.977293767354,0.0117626149146,0.0109436177315,3,,,77
74,extended_run_001,prt_0074_00,scn_0074,0.784806064356,0.0115997399974,0.203594195647,3,,,77
75,extended_run_001,prt_0075_00,scn_0075,0.787049089088,0.0122910239228,0.200659886989,3,,,77
76,extended_run_001,prt_0076_00,scn_0076,0.483053616289,0.106918449326,0.410027934385,3,,,77
77,extended_run_001,prt_0077_00,scn_0077,0.974907090295,0.0140962208761,0.0109966888287,3,,,77
78,extended_run_001,prt_0078_00,scn_0078,0.974964846898,0.0131776605939,0.0118574925079,3,,,77
79,extended_run_001,prt_0079_00,scn_0079,0.854402340647,0.0134907141546,0.132106945199,3,,,77
80,extended_run_001,prt_0080_00,scn_0080,0.975464774526,0.0132343139195,0.0113009115541,3,,,77
81,extended_run_001,prt_0081_00,scn_0081,0.974797594342,0.01373768181,0.0114647238482,3,,,77
82,extended_run_001,prt_0082_00,scn_0082,0.424325198532,0.0131113975413,0.562563403927,3,,,77
83,extended_run_001,prt_0083_00,scn_0083,0.438609808366,0.0125334671879,0.548856724446,3,,,77
84,extended_run_001,prt_0084_00,scn_0084,0.974875865801,0.0130027471153,0.0121213870833,3,,,77
85,extended_run_001,prt_0085_00,scn_0085,0.380875787066,0.606692359772,0.0124318531617,3,,,77
86,extended_run_001,prt_0086_00,scn_0086,0.353435444415,0.633872462414,0.0126920931712,3,,,77
87,extended_run_001,prt_0087_00,scn_0087,0.0124028316522,0.498143093385,0.489454074962,3,,,77
88,extended_run_001,prt_0088_00,scn_0088,0.0116677183834,0.266029722594,0.722302559023,3,,,77
89,extended_run_001,prt_0089_00,scn_0089,0.0116118483825,0.309800269864,0.678587881754,3,,,77
90,extended_run_001,prt_0090_00,scn_0090,0.0115500095569,0.313374756811,0.675075233632,3,,,77
91,extended_run_001,prt_0091_00,scn_0091,0.137887881762,0.850287058734,0.0118250595042,3,,,77
92,extended_run_001,prt_0092_00,scn_0092,0.0122908919279,0.975899293023,0.0118098150494,3,,,77
93,extended_run_001,prt_0093_00,scn_0093,0.0119673609093,0.97610533001,0.0119273090811,3,,,77
94,extended_run_001,prt_0094_00,scn_0094,0.0112872087603,0.439197102981,0.549515688259,3,,,77
95,extended_run_001,prt_0095_00,scn_0095,0.0116207608992,0.800669098219,0.187710140882,3,,,77
96,extended_run_001,prt_0096_00,scn_0096,0.0111593685892,0.25582542915,0.73301520226,3,,,77
97,extended_run_001,prt_0097_00,scn_0097,0.0113445508259,0.344853378755,0.643802070419,3,,,77
98,extended_run_001,prt_0098_00,scn_0098,0.0127951559049,0.873079029073,0.114125815023,3,,,77
