row_type,topic_id,left_random_state,right_random_state,mean_similarity,min_similarity,matched_runs_count
summary,,,,0.8488497859956521,0.8084181184315237,4
topic,0,11,,0.8084181184315237,0.676233700413584,3
topic,1,11,,0.8688146706872253,0.8032572657314795,3
topic,2,11,,0.8693165688682072,0.8012181342364328,3
pairwise_run,,11,42,0.8969131918829141,0.845486203588078,
pairwise_run,,11,77,0.8629230345791343,0.8032572657314795,
pairwise_run,,11,101,0.8067670988902764,0.676233700413584,
pairwise_run,,42,77,0.8175400449892474,0.7449906201870313,
pairwise_run,,42,101,0.8520017082499072,0.7575171714300477,
pairwise_run,,77,101,0.8477466575732031,0.6447854861931537,
