topic_id,token_id,token,document_frequency,weight
0,0,prior_condition_mean_adjusted_attention__level_high,2,0.0225431514924
0,1,prior_condition_mean_adjusted_attention__level_low,2,0.0254209277733
0,2,prior_condition_total_adjusted_time__level_high,2,0.0225469717773
0,3,prior_condition_total_adjusted_time__level_low,2,0.0225431514924
0,4,prior_control_marker_ratio__level_high,2,0.0225707077629
0,5,prior_control_marker_ratio__level_low,2,0.085688542222
0,6,prior_digit_ratio__level_high,2,0.085688542222
0,7,prior_digit_ratio__level_low,2,0.0225707077629
0,8,prior_mean_complexity__level_low,2,0.0225431514924
0,9,prior_mean_complexity__level_mid,2,0.0254078625462
0,10,prior_mean_message_criticality__level_high,2,0.085688542222
0,11,prior_mean_message_criticality__level_low,2,0.0225707077629
0,12,prior_message_length__level_low,2,0.0225431514924
0,13,prior_message_length__level_mid,2,0.0254078625462
0,14,prior_operator_final_fatigue__level_high,2,0.0254209277733
0,15,prior_operator_final_fatigue__level_low,2,0.0225431514924
0,16,prior_operator_mean_attention__level_high,2,0.0225431514924
0,17,prior_operator_mean_attention__level_low,2,0.0254209277733
0,18,prior_operator_total_effort__level_high,2,0.0254209277733
0,19,prior_operator_total_effort__level_low,2,0.0225431514924
0,20,prior_operator_total_estimated_time__level_high,2,0.0225469717773
0,21,prior_operator_total_estimated_time__level_low,2,0.0225431514924
0,22,prior_reference_ratio__level_high,2,0.0254209277733
0,23,prior_reference_ratio__level_low,2,0.0225707077629
0,24,prior_service_ratio__level_high,2,0.0225707077629
0,25,prior_service_ratio__level_low,2,0.085688542222
0,26,prior_step_count__level_low,2,0.0225431514924
0,27,prior_step_count__level_mid,2,0.0254078625462
0,28,prior_symbol_ratio__level_high,2,0.0225707077629
0,29,prior_symbol_ratio__level_low,2,0.0254209277733
0,30,prior_total_nominal_time__level_high,2,0.0225469717773
0,31,prior_total_nominal_time__level_low,2,0.0225431514924
1,0,prior_condition_mean_adjusted_attention__level_high,2,0.00822266922822
1,1,prior_condition_mean_adjusted_attention__level_low,2,0.0564611246642
1,2,prior_condition_total_adjusted_time__level_high,2,0.0575112879807
1,3,prior_condition_total_adjusted_time__level_low,2,0.00822266922822
1,4,prior_control_marker_ratio__level_high,2,0.0328242258973
1,5,prior_control_marker_ratio__level_low,2,0.010032371729
1,6,prior_digit_ratio__level_high,2,0.010032371729
1,7,prior_digit_ratio__level_low,2,0.0328242258973
1,8,prior_mean_complexity__level_low,2,0.00822266922822
1,9,prior_mean_complexity__level_mid,2,0.0564659511635
1,10,prior_mean_message_criticality__level_high,2,0.010032371729
1,11,prior_mean_message_criticality__level_low,2,0.0328242258973
1,12,prior_message_length__level_low,2,0.00822266922822
1,13,prior_message_length__level_mid,2,0.0564659511635
1,14,prior_operator_final_fatigue__level_high,2,0.0564611246642
1,15,prior_operator_final_fatigue__level_low,2,0.00822266922822
1,16,prior_operator_mean_attention__level_high,2,0.00822266922822
1,17,prior_operator_mean_attention__level_low,2,0.0564611246642
1,18,prior_operator_total_effort__level_high,2,0.0564611246642
1,19,prior_operator_total_effort__level_low,2,0.00822266922822
1,20,prior_operator_total_estimated_time__level_high,2,0.0575112879807
1,21,prior_operator_total_estimated_time__level_low,2,0.00822266922822
1,22,prior_reference_ratio__level_high,2,0.0564611246642
1,23,prior_reference_ratio__level_low,2,0.0328242258973
1,24,prior_service_ratio__level_high,2,0.0328242258973
1,25,prior_service_ratio__level_low,2,0.010032371729
1,26,prior_step_count__level_low,2,0.00822266922822
1,27,prior_step_count__level_mid,2,0.0564659511635
1,28,prior_symbol_ratio__level_high,2,0.0328242258973
1,29,prior_symbol_ratio__level_low,2,0.0564611246642
1,30,prior_total_nominal_time__level_high,2,0.0575112879807
1,31,prior_total_nominal_time__level_low,2,0.00822266922822
2,0,prior_condition_mean_adjusted_attention__level_high,2,0.0574085296899
2,1,prior_condition_mean_adjusted_attention__level_low,2,0.00821006690224
2,2,prior_condition_total_adjusted_time__level_high,2,0.00820940102228
2,3,prior_condition_total_adjusted_time__level_low,2,0.0574085296899
2,4,prior_control_marker_ratio__level_high,2,0.032842291182
2,5,prior_control_marker_ratio__level_low,2,0.0325855791848
2,6,prior_digit_ratio__level_high,2,0.0325855791848
2,7,prior_digit_ratio__level_low,2,0.032842291182
2,8,prior_mean_complexity__level_low,2,0.0574085296899
2,9,prior_mean_complexity__level_mid,2,0.00821001159645
2,10,prior_mean_message_criticality__level_high,2,0.0325855791848
2,11,prior_mean_message_criticality__level_low,2,0.032842291182
2,12,prior_message_length__level_low,2,0.0574085296899
2,13,prior_message_length__level_mid,2,0.00821001159645
2,14,prior_operator_final_fatigue__level_high,2,0.00821006690224
2,15,prior_operator_final_fatigue__level_low,2,0.0574085296899
2,16,prior_operator_mean_attention__level_high,2,0.0574085296899
2,17,prior_operator_mean_attention__level_low,2,0.00821006690224
2,18,prior_operator_total_effort__level_high,2,0.00821006690224
2,19,prior_operator_total_effort__level_low,2,0.0574085296899
2,20,prior_operator_total_estimated_time__level_high,2,0.00820940102228
2,21,prior_operator_total_estimated_time__level_low,2,0.0574085296899
2,22,prior_reference_ratio__level_high,2,0.00821006690224
2,23,prior_reference_ratio__level_low,2,0.032842291182
2,24,prior_service_ratio__level_high,2,0.032842291182
2,25,prior_service_ratio__level_low,2,0.0325855791848
2,26,prior_step_count__level_low,2,0.0574085296899
2,27,prior_step_count__level_mid,2,0.00821001159645
2,28,prior_symbol_ratio__level_high,2,0.032842291182
2,29,prior_symbol_ratio__level_low,2,0.00821006690224
2,30,prior_total_nominal_time__level_high,2,0.00820940102228
2,31,prior_total_nominal_time__level_low,2,0.0574085296899
