analysis_dimension,group,count,share,mae,rmse,bias,median_absolute_error,max_absolute_error,q_pred_mean,q_fact_mean,uncertainty_mean,underestimation_count,overestimation_count,exact_count
factual_class,low,1,0.006666666666666667,0.21113688556850468,0.21113688556850468,-0.21113688556850468,0.21113688556850468,0.21113688556850468,0.2093401144314953,0.420477,0.2886518726571784,1,0,0
factual_class,medium,100,0.6666666666666666,0.20282829025548132,0.22802304739098916,-0.19690548623856763,0.2245573930255435,0.37666320802262926,0.38568314376143237,0.5825886299999999,0.30853864478008863,95,5,0
factual_class,high,49,0.32666666666666666,0.06923794117000161,0.09311308785036194,-0.05118594278045479,0.04554356722698849,0.2203849871756004,0.7356914449746472,0.786877387755102,0.22345020974595045,36,13,0
predicted_class,low,67,0.44666666666666666,0.25841769270773113,0.26846248460947114,-0.25841769270773113,0.2735287320241321,0.37666320802262926,0.29205082968032864,0.5504685223880598,0.2756710729815024,67,0,0
predicted_class,medium,49,0.32666666666666666,0.10883104130491253,0.1257622058413667,-0.10067130379594619,0.12652293291653616,0.2203849871756004,0.5756792880407885,0.6763505918367347,0.38125032693476024,45,4,0
predicted_class,high,34,0.22666666666666666,0.03646819391435356,0.043737365022852255,-0.004791688477888519,0.031420967737870065,0.09622663187600833,0.7956130762279939,0.8004047647058824,0.14530437407805008,20,14,0
dominant_factor,theta_0,34,0.22666666666666666,0.2507012988259472,0.2611555559132352,-0.2507012988259472,0.27034744175644976,0.3747296939933981,0.3454182011740527,0.5961194999999999,0.305036846350968,34,0,0
dominant_factor,theta_1,46,0.30666666666666664,0.23330573952215158,0.2473105093788202,-0.23330573952215158,0.2509764177082353,0.37666320802262926,0.3111511083039354,0.5444568478260869,0.2781246667382785,46,0,0
dominant_factor,theta_2,70,0.4666666666666667,0.06615309786207912,0.08754688773008332,-0.04505555039380536,0.046819505308654474,0.2203849871756004,0.6967052210347662,0.7417607714285714,0.2703798454617698,52,18,0
uncertainty_quantile,Q1,38,0.25333333333333335,0.14363703600591327,0.18597021097668132,-0.12677111609365888,0.07177265184927362,0.36834948411437407,0.569070989169499,0.6958421052631578,0.10177375288647596,30,8,0
uncertainty_quantile,Q2,37,0.24666666666666667,0.14425242610999006,0.1807936038727616,-0.12370336218445355,0.1442968503359146,0.32328799427512767,0.5242268270047358,0.6479301891891892,0.23045683645129394,29,8,0
uncertainty_quantile,Q3,37,0.24666666666666667,0.17800865215656908,0.2134112536418771,-0.17800865215656908,0.146183125552648,0.37666320802262926,0.43629169919478233,0.6143003513513513,0.35978243845015473,37,0,0
uncertainty_quantile,Q4,38,0.25333333333333335,0.1711778359041928,0.1960195766059341,-0.16918815167080742,0.15885213834958611,0.3747296939933981,0.46480663780287684,0.6339947894736844,0.4311926538731035,36,2,0
noise_level,low,66,0.44,0.1881998824435686,0.2192624461611699,-0.17592660686202016,0.18772385676000022,0.37666320802262926,0.4475533022288889,0.6234799090909091,0.2802473400119786,57,9,0
noise_level,medium,40,0.26666666666666666,0.11085183771799723,0.14576735322516063,-0.09842562547825555,0.07287845133795218,0.3240720575492664,0.5641117745217444,0.6625374,0.3069265402680764,35,5,0
noise_level,high,44,0.29333333333333333,0.15980361996480227,0.1934095934969185,-0.1559458098555455,0.15885213834958611,0.3523044063925084,0.516444235599,0.6723900454545455,0.25723160401599937,40,4,0
time_pressure,low,72,0.48,0.23054939640630195,0.24754634301822845,-0.2289526569259023,0.24383149327296635,0.37666320802262926,0.3676049819629865,0.5965576388888889,0.29573449358125026,70,2,0
time_pressure,medium,39,0.26,0.12885289139622372,0.1597949228916252,-0.11371899156854046,0.10250788104133762,0.30907353546220695,0.5179343674058184,0.631653358974359,0.32941035888257686,33,6,0
time_pressure,high,39,0.26,0.05799501853180132,0.08179367573498661,-0.03820935220075664,0.0430691821965673,0.29258207315012164,0.722039391388987,0.7602487435897435,0.20388946394736154,29,10,0
fact_success,unsuccessful,103,0.6866666666666666,0.2009176348528898,0.22642480784927263,-0.1951673396908377,0.21842310139291338,0.37666320802262926,0.39156404865867694,0.5867313883495145,0.30492548329329205,98,5,0
fact_success,successful,47,0.31333333333333335,0.06791720507657592,0.0908866685131363,-0.04909703654279306,0.04618299631234768,0.2203849871756004,0.7339454953721006,0.7830425319148936,0.22732450742571345,34,13,0
fact_error_count,0,2,0.013333333333333334,0.06399730345467103,0.0643219383000645,-0.06399730345467103,0.06399730345467103,0.07045151891497725,0.846561696545329,0.910559,0.10087135439253435,2,0,0
fact_error_count,1-2,45,0.3,0.07929232121877045,0.10473472177232615,-0.062375153692425786,0.04745601430496127,0.23878742969502276,0.6541950018631297,0.7165701555555557,0.2608661206681574,34,11,0
fact_error_count,3-5,53,0.35333333333333333,0.13258518637502636,0.16045698733586256,-0.12156346357621522,0.12443920870681535,0.28674759923678744,0.520002687367181,0.6415661509433961,0.2797069101411006,47,6,0
fact_error_count,6+,50,0.3333333333333333,0.2632692217763262,0.27576818610244064,-0.26064113226119295,0.2858580650481354,0.37666320802262926,0.3226898877388071,0.5833310199999999,0.3065278450377428,49,1,0
fact_recheck_count,0,76,0.5066666666666667,0.17618196877417086,0.21105428910492466,-0.175313655152359,0.1767518859858835,0.37666320802262926,0.4625983843213253,0.6379120394736842,0.2674183747707805,74,2,0
fact_recheck_count,1,38,0.25333333333333335,0.17643335452910539,0.20809745873717014,-0.16345016381440872,0.1554890078471322,0.36834948411437407,0.47376183618559126,0.637212,0.2980860834924147,31,7,0
fact_recheck_count,2+,36,0.24,0.10534244248621467,0.13311980142169635,-0.07985701914279841,0.07389987055474795,0.2874264810758771,0.6018363419683127,0.6816933611111112,0.2900141381368483,27,9,0
fact_reject_count,0,83,0.5533333333333333,0.10996153031473554,0.14680716750390613,-0.09466254421649636,0.07513662321716152,0.36834948411437407,0.6332111545786844,0.7278736987951807,0.26721050230324905,68,15,0
fact_reject_count,1+,67,0.44666666666666666,0.22029579122871146,0.2406464403569689,-0.2172060527716173,0.24887555685090995,0.37666320802262926,0.332388200959726,0.5495942537313433,0.29721052144847676,64,3,0
fact_duration_quantile,Q1,38,0.25333333333333335,0.07370048903717613,0.09835456800087414,-0.04917614337446604,0.05354440364249691,0.25930822242758705,0.7146340934676392,0.7638102368421054,0.22421401862345483,25,13,0
fact_duration_quantile,Q2,37,0.24666666666666667,0.10204533404673737,0.12931258493332837,-0.09086969318620988,0.09622663187600833,0.25488653069040235,0.5724404689759522,0.6633101621621622,0.2874402665067814,33,4,0
fact_duration_quantile,Q3,37,0.24666666666666667,0.1654393264355291,0.18477038508203694,-0.16188785411778148,0.15144918541341656,0.28674759923678744,0.43963755128762394,0.6015254054054053,0.31222377160963644,36,1,0
fact_duration_quantile,Q4,38,0.25333333333333335,0.2944493159786886,0.2999726493936543,-0.2944493159786886,0.30311313706296256,0.37666320802262926,0.2690408682318377,0.5634901842105262,0.2995756450057599,38,0,0
error_direction,underestimation,132,0.88,0.17536523384134195,0.2063651460800272,-0.17536523384134195,0.16797162560334586,0.37666320802262926,0.46052983434047623,0.6358950681818183,0.2933669912781291,132,0,0
error_direction,overestimation,18,0.12,0.04102300896608785,0.051334634032244995,0.04102300896608785,0.032030165478385886,0.09640733065702156,0.7798109534105323,0.7387879444444444,0.18706298775025462,0,18,0
