model,metric,direction,point_estimate,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,confidence_level,resamples,valid_resamples
mean_baseline,mae,min,0.2804929072426958,0.2801894704007656,0.012439314682496337,0.256591214850271,0.3060136131829547,0.95,1000,1000
mean_baseline,rmse,min,0.31229421281061703,0.3117077315614495,0.011523098066898376,0.29005750554210735,0.3348888766102305,0.95,1000,1000
mean_baseline,spearman,max,-0.1262211458898452,-0.12458206335368203,0.09852691849221926,-0.328180179181785,0.06074561180980036,0.95,1000,1000
mean_baseline,kendall,max,-0.09324828140873784,-0.09257916866594224,0.07541659310861233,-0.24792513467433352,0.04964651564299478,0.95,1000,1000
mean_baseline,accuracy,max,0.15833333333333333,0.1578083333333333,0.032692189669345915,0.1,0.225,0.95,1000,1000
mean_baseline,macro_f1,max,0.09112709832134293,0.0904068435553663,0.016293878066755797,0.06060606060606061,0.12244897959183672,0.95,1000,1000
prior_only_baseline,mae,min,0.024071309837607104,0.024039844984987378,0.001702144522961098,0.02064016669297299,0.027371186510922647,0.95,1000,1000
prior_only_baseline,rmse,min,0.030346547555493316,0.030224078700621777,0.0017699703930459778,0.02669667415438712,0.033627986513820186,0.95,1000,1000
prior_only_baseline,spearman,max,0.9903465518438781,0.9886635272681049,0.002820911140611141,0.9819951257988906,0.9931506432995436,0.95,1000,1000
prior_only_baseline,kendall,max,0.9193277310924369,0.9195264199545728,0.010185879431357497,0.8972612861914246,0.9384198167348969,0.95,1000,1000
prior_only_baseline,accuracy,max,0.975,0.9748833333333332,0.014275899316726114,0.9416666666666667,1.0,0.95,1000,1000
prior_only_baseline,macro_f1,max,0.9631230193027948,0.9620138632581007,0.02160542454050691,0.9156617271333676,1.0,0.95,1000,1000
theta_only_baseline,mae,min,0.2177370596654897,0.21678692210009204,0.014992922522914984,0.18665603448333865,0.24793756260906993,0.95,1000,1000
theta_only_baseline,rmse,min,0.27094486760576064,0.2697027011538324,0.014807313057186673,0.24027057052396084,0.29995350257445463,0.95,1000,1000
theta_only_baseline,spearman,max,0.5116396972011945,0.5088361550646181,0.05306652483550127,0.39231367443358584,0.6044213955358921,0.95,1000,1000
theta_only_baseline,kendall,max,0.3196078431372549,0.3213772181805467,0.03881512228110942,0.2415693003361592,0.3934787961735733,0.95,1000,1000
theta_only_baseline,accuracy,max,0.525,0.5277666666666666,0.04719776202163575,0.43333333333333335,0.6166666666666667,0.95,1000,1000
theta_only_baseline,macro_f1,max,0.5068747677443329,0.5063432100213151,0.045064443839644086,0.41958684315909706,0.597519918298427,0.95,1000,1000
chapter5_model,mae,min,0.10021652711408947,0.09974060565060738,0.006945407985765729,0.08608565869701187,0.11427321500988866,0.95,1000,1000
chapter5_model,rmse,min,0.12458999895258699,0.12399683070518759,0.006820647973502885,0.11073785056599632,0.13782780299396669,0.95,1000,1000
chapter5_model,spearman,max,0.9071046600458366,0.9027931813898056,0.015056142711286549,0.867580897568895,0.9263291541996754,0.95,1000,1000
chapter5_model,kendall,max,0.7198879551820728,0.7203567261628009,0.020923174306780652,0.6777159109644354,0.7584041402454182,0.95,1000,1000
chapter5_model,accuracy,max,0.85,0.8498916666666666,0.032384337920741676,0.7833333333333333,0.9083333333333333,0.95,1000,1000
chapter5_model,macro_f1,max,0.8155992844364937,0.8131160268679887,0.038184751822651776,0.7335178009051317,0.8793740192234998,0.95,1000,1000
