model,metric,direction,point_estimate,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,confidence_level,resamples,valid_resamples
mean_baseline,mae,min,0.19596225794943786,0.1959803252489025,0.010705501396890993,0.17493770649143656,0.21611371221977155,0.95,1000,1000
mean_baseline,rmse,min,0.22853278250740128,0.22833604356106638,0.008888581556877313,0.21092987784652623,0.2448097318269308,0.95,1000,1000
mean_baseline,spearman,max,-0.29718105373256004,-0.2941692002532165,0.08453686478383104,-0.44962692774619817,-0.1274902487127871,0.95,1000,1000
mean_baseline,kendall,max,-0.2139408730648634,-0.21314223574383692,0.06310042658192419,-0.328165791235513,-0.08772967524722476,0.95,1000,1000
mean_baseline,accuracy,max,0.3333333333333333,0.33280833333333326,0.04272433953419383,0.25,0.41687499999999983,0.95,1000,1000
mean_baseline,macro_f1,max,0.16666666666666666,0.1659567663992132,0.01603269377459295,0.13333333333333333,0.19614723082215335,0.95,1000,1000
prior_only_baseline,mae,min,0.09637372224427819,0.09639925303434008,0.006472713840707493,0.08443515197462925,0.10907631445722853,0.95,1000,1000
prior_only_baseline,rmse,min,0.11942470638957985,0.11930819174154673,0.006749524512356242,0.10622230170727763,0.13276613746510182,0.95,1000,1000
prior_only_baseline,spearman,max,0.9155288561705675,0.9110957785631787,0.01709741055908108,0.8737798555924967,0.9396332850229134,0.95,1000,1000
prior_only_baseline,kendall,max,0.7492997198879552,0.7488562036731922,0.0244082453929645,0.7000091600457606,0.7967907317595598,0.95,1000,1000
prior_only_baseline,accuracy,max,0.7416666666666667,0.7429000000000001,0.04183740128071654,0.6583333333333333,0.8168749999999998,0.95,1000,1000
prior_only_baseline,macro_f1,max,0.7384669817618628,0.737356504185178,0.04148065155034501,0.654438787672996,0.8146732672002949,0.95,1000,1000
theta_only_baseline,mae,min,0.11754970009742233,0.11760583140928313,0.007465845225905334,0.10246739920276825,0.1335410337739745,0.95,1000,1000
theta_only_baseline,rmse,min,0.1440783376022065,0.1438810889716745,0.007605556760064192,0.12858745175767644,0.15966650433526602,0.95,1000,1000
theta_only_baseline,spearman,max,0.7878185985137857,0.7816653969914604,0.027302720447078325,0.7217666098520198,0.826708791043433,0.95,1000,1000
theta_only_baseline,kendall,max,0.5644257703081232,0.5635516635557228,0.027830276936166718,0.5072074554527808,0.6166551987767583,0.95,1000,1000
theta_only_baseline,accuracy,max,0.7166666666666667,0.7161000000000001,0.040244650005638,0.6333333333333333,0.7916666666666666,0.95,1000,1000
theta_only_baseline,macro_f1,max,0.715048444345379,0.7118976773787158,0.03952181121263319,0.6353650925541245,0.7915623957995231,0.95,1000,1000
chapter5_model,mae,min,0.020222214283398734,0.020238549305690044,0.0014209986462505615,0.017573068003382573,0.023056645198755988,0.95,1000,1000
chapter5_model,rmse,min,0.02530018773688501,0.025262149382622404,0.0017464486897509866,0.02203024334365167,0.028920507664613293,0.95,1000,1000
chapter5_model,spearman,max,0.9888672824501702,0.9869401938415631,0.0030804118614613965,0.9797890328050982,0.9917131423503316,0.95,1000,1000
chapter5_model,kendall,max,0.9137254901960784,0.9135009036752649,0.010532355022218595,0.8925029273473014,0.9321566748517698,0.95,1000,1000
chapter5_model,accuracy,max,1.0,1.0,0.0,1.0,1.0,0.95,1000,1000
chapter5_model,macro_f1,max,1.0,1.0,0.0,1.0,1.0,0.95,1000,1000
